Output,Min,Max
1,0.5,1.3
2,0.5,1.3
3,0.5,1.3
4,0.5,1.3
5,0.5,1.3
6,0.5,1.3
7,0.5,1.3
8,0.5,1.3
9,0.5,1.3
10,0.5,1.3
11,0.5,1.3
12,0.5,1.3
13,0.5,1.3
14,0.5,1.3
15,0.5,1.3
16,0.5,1.3
17,0.5,1.3
18,0.5,1.3
19,0.5,1.3
20,0.5,1.3
21,0.5,1.3
22,0.5,1.3
23,0.5,1.3
24,0.5,1.3
25,0.5,1.3
26,0.5,1.3
27,0.5,1.3
28,0.5,1.3
29,0.5,1.3
30,0.5,1.3
31,0.5,1.3
32,0.5,1.3
33,0.5,1.3
34,0.5,1.3
35,0.5,1.3
36,0.5,1.3
37,0.5,1.3
38,0.5,1.3
39,0.5,1.3
40,0.5,1.3
41,0.5,1.3
42,0.5,1.3
43,0.5,1.3
44,0.5,1.3
45,0.5,1.3
46,0.5,1.3
47,0.5,1.3
48,0.5,1.3
49,0.5,1.3
50,0.5,1.3
51,0.5,1.3
52,0.5,1.3
53,0.5,1.3
54,0.5,1.3
55,0.5,1.3
56,0.5,1.3
57,0.5,1.3
58,0.5,1.3
59,0.5,1.3
60,0.5,1.3
61,0.5,1.3
62,0.5,1.3
63,0.5,1.3
64,0.5,1.3
